Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2023-01-12,409,409,409,409,0,0.00%,0,0
2023-01-13,409,411,409,411,2,+0.49%,0,12
2023-01-17,410,410,410,410,-1.,-0.24%,0,12
2023-01-18,411,411,411,411,1,+0.24%,0,12
2023-01-19,411,411,411,411,0,0.00%,0,12
2023-01-20,410,410,410,410,-1.,-0.24%,0,12
2023-01-23,410,410,410,410,0,0.00%,0,12
2023-01-24,410,410,410,410,0,0.00%,0,12
2023-01-25,410,410,410,410,0,0.00%,0,12
2023-01-26,410,410,410,410,0,0.00%,0,0
2023-01-27,410,420,410,410,0,0.00%,0,12
2023-01-30,420,420,420,420,10,+2.44%,0,12
2023-01-31,420,420,420,420,0,0.00%,0,12
2023-02-01,420,420,420,420,0,0.00%,0,11
2023-02-02,420,420,420,420,0,0.00%,0,0
2023-02-03,430,430,430,430,10,+2.38%,0,11
2023-02-06,430,430,430,430,0,0.00%,0,11
2023-02-07,430,430,425,430,0,0.00%,0,11
2023-02-08,430,430,430,430,0,0.00%,0,11
2023-02-09,430,430,430,430,0,0.00%,0,0
2023-02-10,430,430,430,430,0,0.00%,6,13
2023-02-13,430,430,430,430,0,0.00%,0,13
2023-02-14,430,430,430,430,0,0.00%,0,13
2023-02-15,430,430,430,430,0,0.00%,0,13
2023-02-16,430,430,430,430,0,0.00%,0,0
2023-02-17,430,430,430,430,0,0.00%,0,13
2023-02-21,455,465,455,465,35,+8.14%,8,15
2023-02-22,470,470,470,470,5,+1.08%,0,17
2023-02-23,490,490,490,490,20,+4.26%,0,0
2023-02-24,480,480,480,480,-10.,-2.04%,0,18
2023-02-27,480,480,480,480,0,0.00%,0,18
2023-02-28,475,475,475,475,-5.,-1.04%,0,18
2023-03-01,475,475,465,475,0,0.00%,0,17
2023-03-02,465,465,465,465,-10.,-2.11%,0,0
2023-03-03,465,465,465,465,0,0.00%,0,17
2023-03-06,465,465,465,465,0,0.00%,0,17
2023-03-07,465,465,465,465,0,0.00%,0,17
2023-03-08,465,465,465,465,0,0.00%,0,17
2023-03-09,465,465,465,465,0,0.00%,0,0
2023-03-10,457,457,457,457,-8.,-1.72%,0,17
2023-03-13,457,457,457,457,0,0.00%,0,17
2023-03-14,457,457,457,457,0,0.00%,0,17
2023-03-15,457,457,457,457,0,0.00%,0,17
2023-03-16,444,444,444,444,-13.,-2.84%,0,0
2023-03-17,444,444,444,444,0,0.00%,0,17
2023-03-20,444,444,440,444,0,0.00%,0,17
2023-03-21,444,444,444,444,0,0.00%,0,17
2023-03-22,439,439,435,439,-5.,-1.13%,0,17
2023-03-23,439,439,439,439,0,0.00%,0,0
2023-03-24,439,439,439,439,0,0.00%,0,17
2023-03-27,439,439,439,439,0,0.00%,0,17
2023-03-28,439,439,439,439,0,0.00%,0,17
2023-03-29,439,439,439,439,0,0.00%,0,17
2023-03-30,439,439,439,439,0,0.00%,0,0
2023-03-31,439,439,439,439,0,0.00%,0,16
2023-04-03,439,439,439,439,0,0.00%,0,16
2023-04-04,439,439,439,439,0,0.00%,0,16
2023-04-05,439,439,439,439,0,0.00%,6,22
2023-04-06,435,435,435,435,-4.,-0.91%,0,2
2023-04-10,435,435,435,435,0,0.00%,0,22
2023-04-11,435,435,435,435,0,0.00%,0,22
2023-04-12,430,430,420,430,-5.,-1.15%,0,22
2023-04-13,430,430,430,430,0,0.00%,0,0
2023-04-14,430,430,430,430,0,0.00%,0,22
2023-04-17,430,430,430,430,0,0.00%,0,22
2023-04-18,425,425,419,425,-5.,-1.16%,18,24
2023-04-19,415,415,415,415,-10.,-2.35%,0,25
2023-04-20,402,402,395,402,-13.,-3.13%,0,0
2023-04-21,400,400,392,400,-2.,-0.50%,0,0
2023-04-24,400,400,400,400,0,0.00%,0,25
2023-04-25,400,400,400,400,0,0.00%,0,25
2023-04-26,400,400,400,400,0,0.00%,0,25
2023-04-27,400,400,400,400,0,0.00%,0,0
2023-04-28,400,400,400,400,0,0.00%,0,22
2023-05-01,400,400,400,400,0,0.00%,0,22
2023-05-02,400,400,395,400,0,0.00%,15,34
2023-05-03,398,398,398,398,-2.,-0.50%,0,34
2023-05-04,388,388,382,388,-10.,-2.51%,0,0
2023-05-05,375,375,375,375,-13.,-3.35%,0,34
2023-05-08,377,377,377,377,2,+0.53%,0,34
2023-05-09,378,379,375,379,2,+0.53%,0,34
2023-05-10,379,379,379,379,0,0.00%,0,34
2023-05-11,379,379,379,379,0,0.00%,0,0
2023-05-12,379,379,379,379,0,0.00%,15,41
2023-05-15,379,379,379,379,0,0.00%,6,44
2023-05-16,380,380,380,380,1,+0.26%,0,44
2023-05-17,380,380,380,380,0,0.00%,0,44
2023-05-18,380,380,380,380,0,0.00%,0,0
2023-05-19,380,380,380,380,0,0.00%,0,44
2023-05-22,380,380,380,380,0,0.00%,0,44
2023-05-23,379,379,379,379,-1.,-0.26%,0,44
2023-05-24,379,379,378,378,-1.,-0.26%,9,53
2023-05-25,378,378,378,378,0,0.00%,0,0
2023-05-26,378,378,378,378,0,0.00%,16,62
2023-05-30,379,379,379,379,1,+0.26%,0,62
2023-05-31,379,379,379,379,0,0.00%,0,62
2023-06-01,379.38,379.38,379.38,379.38,0.38,+0.10%,0,0
"Downloaded from Barchart.com as of 08-12-2026 05:39am CDT"
