Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2023-01-12,409,409,409,409,0,0.00%,0,0
2023-01-13,409,411,409,411,2,+0.49%,0,12
2023-01-17,410,410,410,410,-1.,-0.24%,0,12
2023-01-18,411,411,411,411,1,+0.24%,0,12
2023-01-19,411,411,411,411,0,0.00%,0,12
2023-01-20,410,410,410,410,-1.,-0.24%,0,12
2023-01-23,410,410,410,410,0,0.00%,0,12
2023-01-24,410,410,410,410,0,0.00%,0,12
2023-01-25,410,410,410,410,0,0.00%,0,12
2023-01-26,410,410,410,410,0,0.00%,0,0
2023-01-27,410,420,410,410,0,0.00%,0,12
2023-01-30,420,420,420,420,10,+2.44%,0,12
2023-01-31,420,420,420,420,0,0.00%,0,12
2023-02-01,420,420,420,420,0,0.00%,0,11
2023-02-02,420,420,420,420,0,0.00%,0,0
2023-02-03,430,430,430,430,10,+2.38%,0,11
2023-02-06,430,430,430,430,0,0.00%,0,11
2023-02-07,430,430,425,430,0,0.00%,0,11
2023-02-08,430,430,430,430,0,0.00%,0,11
2023-02-09,430,430,430,430,0,0.00%,0,0
2023-02-10,440,440,440,440,10,+2.33%,6,13
2023-02-13,440,440,440,440,0,0.00%,0,13
2023-02-14,440,440,440,440,0,0.00%,0,13
2023-02-15,440,440,440,440,0,0.00%,0,13
2023-02-16,440,440,440,440,0,0.00%,0,0
2023-02-17,440,440,440,440,0,0.00%,0,13
2023-02-21,455,465,455,465,25,+5.68%,8,15
2023-02-22,470,470,470,470,5,+1.08%,0,17
2023-02-23,485,485,485,485,15,+3.19%,0,0
2023-02-24,475,475,480,475,-10.,-2.06%,0,18
2023-02-27,475,475,475,475,0,0.00%,0,18
2023-02-28,470,470,470,470,-5.,-1.05%,0,18
2023-03-01,470,470,465,470,0,0.00%,0,17
2023-03-02,460,460,460,460,-10.,-2.13%,0,0
2023-03-03,460,460,460,460,0,0.00%,0,17
2023-03-06,460,460,460,460,0,0.00%,0,17
2023-03-07,460,460,460,460,0,0.00%,0,17
2023-03-08,460,460,460,460,0,0.00%,0,17
2023-03-09,460,460,460,460,0,0.00%,0,0
2023-03-10,452,452,452,452,-8.,-1.74%,0,17
2023-03-13,452,452,452,452,0,0.00%,0,17
2023-03-14,452,452,452,452,0,0.00%,0,17
2023-03-15,452,452,452,452,0,0.00%,0,17
2023-03-16,439,439,439,439,-13.,-2.88%,0,0
2023-03-17,439,439,439,439,0,0.00%,0,17
2023-03-20,439,439,439,439,0,0.00%,0,17
2023-03-21,439,439,439,439,0,0.00%,0,17
2023-03-22,434,434,434,434,-5.,-1.14%,0,17
2023-03-23,434,434,434,434,0,0.00%,0,0
2023-03-24,435,435,435,435,1,+0.23%,0,17
2023-03-27,435,435,435,435,0,0.00%,0,17
2023-03-28,435,435,435,435,0,0.00%,0,17
2023-03-29,435,435,435,435,0,0.00%,0,17
2023-03-30,435,435,435,435,0,0.00%,0,0
2023-03-31,435,435,435,435,0,0.00%,0,16
2023-04-03,435,435,435,435,0,0.00%,0,16
2023-04-04,435,435,435,435,0,0.00%,0,16
2023-04-05,435,435,435,435,0,0.00%,6,22
2023-04-06,431,431,431,431,-4.,-0.92%,0,2
2023-04-10,431,431,431,431,0,0.00%,0,22
2023-04-11,435,435,435,435,4,+0.93%,0,22
2023-04-12,430,430,415,430,-5.,-1.15%,0,22
2023-04-13,430,430,430,430,0,0.00%,0,0
2023-04-14,430,430,430,430,0,0.00%,0,22
2023-04-17,430,430,430,430,0,0.00%,0,22
2023-04-18,425,425,417,425,-5.,-1.16%,18,24
2023-04-19,412,412,412,412,-13.,-3.06%,0,25
2023-04-20,399,399,399,399,-13.,-3.16%,0,0
2023-04-21,395,395,388,395,-4.,-1.00%,0,0
2023-04-24,395,395,395,395,0,0.00%,0,25
2023-04-25,395,395,395,395,0,0.00%,0,25
2023-04-26,395,395,395,395,0,0.00%,0,25
2023-04-27,395,395,395,395,0,0.00%,0,0
2023-04-28,395,395,395,395,0,0.00%,0,22
2023-05-01,395,395,395,395,0,0.00%,0,22
2023-05-02,395,395,395,395,0,0.00%,15,34
2023-05-03,395,395,395,395,0,0.00%,0,34
2023-05-04,380,380,380,380,-15.,-3.80%,0,0
2023-05-05,375,375,375,375,-5.,-1.32%,0,34
2023-05-08,375,375,375,375,0,0.00%,0,34
2023-05-09,375,375,373,375,0,0.00%,0,34
2023-05-10,375,375,375,375,0,0.00%,0,34
2023-05-11,375,375,375,375,0,0.00%,0,0
2023-05-12,372,372,372,372,-3.,-0.80%,15,41
2023-05-15,372,372,372,372,0,0.00%,6,44
2023-05-16,372,375,372,372,0,0.00%,0,44
2023-05-17,375,375,375,375,3,+0.81%,0,44
2023-05-18,375,375,375,375,0,0.00%,0,0
2023-05-19,375,375,375,375,0,0.00%,0,44
2023-05-22,375,375,375,375,0,0.00%,0,44
2023-05-23,375,375,375,375,0,0.00%,0,44
2023-05-24,365,365,365,365,-10.,-2.67%,9,53
2023-05-25,365,365,365,365,0,0.00%,0,0
2023-05-26,360,360,360,360,-5.,-1.37%,16,62
2023-05-30,360,370,360,360,0,0.00%,0,62
2023-05-31,365,365,365,365,5,+1.39%,0,62
2023-06-01,370,370,370,370,5,+1.37%,0,0
2023-06-02,370,370,370,370,0,0.00%,0,58
2023-06-05,370,370,370,370,0,0.00%,9,55
2023-06-06,370,370,370,370,0,0.00%,0,55
2023-06-07,370,370,370,370,0,0.00%,0,55
2023-06-08,375,375,375,375,5,+1.35%,0,0
2023-06-09,375,375,375,375,0,0.00%,0,55
2023-06-12,375,375,375,375,0,0.00%,3,55
2023-06-13,375,375,375,375,0,0.00%,0,55
2023-06-14,380,380,380,380,5,+1.33%,0,55
2023-06-15,380,380,380,380,0,0.00%,0,0
2023-06-16,380,380,380,380,0,0.00%,0,55
2023-06-20,380,380,380,380,0,0.00%,5,55
2023-06-21,380,380,377,380,0,0.00%,0,55
2023-06-22,380,380,380,380,0,0.00%,0,55
2023-06-23,380,380,380,380,0,0.00%,0,5
2023-06-26,380,380,380,380,0,0.00%,0,55
2023-06-27,380,380,380,380,0,0.00%,0,55
2023-06-28,380,380,380,380,0,0.00%,0,55
2023-06-29,380,380,380,380,0,0.00%,0,4
2023-06-30,380,380,380,380,0,0.00%,0,43
2023-07-03,376,376,376,376,-4.,-1.05%,0,43
2023-07-05,376,376,376,376,0,0.00%,0,43
2023-07-06,376,376,375,375,-1.,-0.27%,0,43
2023-07-07,375,375,375,375,0,0.00%,0,4
2023-07-10,375,375,375,375,0,0.00%,0,43
2023-07-11,375,375,375,375,0,0.00%,0,43
2023-07-12,375,375,375,375,0,0.00%,0,43
2023-07-13,375,375,375,375,0,0.00%,0,4
2023-07-14,375,375,375,375,0,0.00%,0,43
2023-07-17,375,375,375,375,0,0.00%,0,43
2023-07-18,374,374,374,374,-1.,-0.27%,0,43
2023-07-19,373,373,373,373,-1.,-0.27%,0,43
2023-07-20,372,372,372,372,-1.,-0.27%,0,4
2023-07-21,371,371,371,371,-1.,-0.27%,9,49
2023-07-24,370,370,370,370,-1.,-0.27%,0,49
2023-07-25,368,368,368,368,-2.,-0.54%,0,49
2023-07-26,367,367,367,367,-1.,-0.27%,0,49
2023-07-27,366,366,366,366,-1.,-0.27%,0,4
2023-07-28,365,365,365,365,-1.,-0.27%,0,49
2023-07-31,364,364,364,364,-1.,-0.27%,0,49
2023-08-01,363.67,363.67,363.67,363.67,-0.33,-0.09%,0,43
"Downloaded from Barchart.com as of 08-12-2026 05:39am CDT"
